repo_full_name,adoption_date,status,created_at,has_post_window,has_pre_window
odriverobotics/ODrive,2020-06-04 00:00:00+00:00,ok,2016-04-25 17:26:04+00:00,True,True
jaredpalmer/razzle,2019-11-13 00:00:00+00:00,ok,2016-02-10 18:34:27+00:00,True,True
apereo/cas,2020-05-15 00:00:00+00:00,ok,2011-09-09 01:36:42+00:00,True,True
ent/ent,2020-06-17 00:00:00+00:00,ok,2019-06-12 22:53:55+00:00,True,True
rgeo/rgeo,2021-01-16 00:00:00+00:00,ok,2010-10-19 05:07:01+00:00,True,True
visualboyadvance-m/visualboyadvance-m,2021-10-03 00:00:00+00:00,ok,2015-06-10 23:43:02+00:00,True,True
rwv/chinese-dos-games,2021-06-21 00:00:00+00:00,ok,2018-08-30 14:12:12+00:00,True,True
trekhleb/javascript-algorithms,2020-12-15 00:00:00+00:00,ok,2018-03-24 07:47:04+00:00,True,True
jamesmh/coravel,2021-06-23 00:00:00+00:00,ok,2018-06-12 17:17:49+00:00,True,True
activerecord-hackery/ransack,2020-12-01 00:00:00+00:00,ok,2011-03-31 00:34:25+00:00,True,True
mikepenz/FastAdapter,2020-01-20 00:00:00+00:00,ok,2015-12-28 11:05:32+00:00,True,True
dotnetcore/FreeSql,2020-10-23 00:00:00+00:00,ok,2018-12-18 03:02:51+00:00,True,True
KhronosGroup/Vulkan-Samples,2020-11-05 00:00:00+00:00,ok,2019-10-29 16:10:56+00:00,True,True
tasks/tasks,2021-01-20 00:00:00+00:00,ok,2013-07-18 19:44:38+00:00,True,True
acidanthera/WhateverGreen,2020-12-03 00:00:00+00:00,ok,2017-07-26 22:40:14+00:00,True,True
sparklemotion/nokogiri,2019-09-18 00:00:00+00:00,ok,2008-07-14 15:34:32+00:00,True,True
redmine/redmine,2024-05-04 00:00:00+00:00,ok,2012-11-19 22:47:09+00:00,True,True
rjaros/kvision,2020-12-26 00:00:00+00:00,ok,2018-02-09 00:32:45+00:00,True,True
rubysherpas/paranoia,2021-11-04 00:00:00+00:00,ok,2010-09-12 08:57:53+00:00,True,True
Netflix/eureka,2021-08-17 00:00:00+00:00,ok,2012-07-26 22:23:07+00:00,True,True
google/j2objc,2021-08-31 00:00:00+00:00,ok,2014-01-30 20:19:56+00:00,True,True
ranaroussi/yfinance,2021-03-03 00:00:00+00:00,ok,2017-05-21 10:16:15+00:00,True,True
egulias/EmailValidator,2023-01-02 00:00:00+00:00,ok,2013-05-19 15:23:00+00:00,True,True
berstend/puppeteer-extra,2020-07-13 00:00:00+00:00,ok,2018-05-15 20:02:21+00:00,True,True
beefproject/beef,2021-10-14 00:00:00+00:00,ok,2011-11-23 06:53:25+00:00,True,True
KDAB/hotspot,2022-04-10 00:00:00+00:00,ok,2016-12-20 17:38:04+00:00,True,True
