repo_full_name,reference_month,pre_commits
kyleduo/SwitchButton,2025-03-01,0
tinode/chat,2020-08-01,1105
aanand/deadweight,2020-02-01,0
pipelinedb/pipelinedb,2024-09-01,0
pingcap/talent-plan,2020-11-01,58
russross/blackfriday,2020-09-01,7
pardom-zz/ActiveAndroid,2022-07-01,0
Kitt-AI/snowboy,2021-01-01,1
baidu/uid-generator,2022-04-01,0
shadcn-ui/taxonomy,2024-09-01,0
Imangazaliev/DiDOM,2019-11-01,24
microsoft/ailab,2022-02-01,0
klinker24/Android-TextView-LinkBuilder,2022-02-01,0
trello-archive/RxLifecycle,2021-01-01,23
ShahjalalShohag/code-library,2024-05-01,95
DrKLO/Telegram,2023-01-01,41
symfony/twig-bridge,2020-04-01,334
ircmaxell/password_compat,2022-01-01,0
careercup/ctci,2019-12-01,0
apache/rocketmq-externals,2019-10-01,240
MaxBittker/sandspiel,2020-05-01,41
caydey/ffshare,2025-05-01,63
inancgumus/learngo,2021-03-01,27
NLog/NLog,2025-05-01,170
tyrantgit/ExplosionField,2023-03-01,0
mishoo/UglifyJS-old,2019-10-01,0
Tencent/APIJSON,2024-07-01,121
iliasam/OpenSimpleLidar,2023-06-01,3
KlingAIResearch/LivePortrait,2025-08-01,52
Tencent/matrix,2022-08-01,1055
HFO4/gameboy.live,2020-06-01,3
maccman/abba,2025-04-01,0
0voice/introduce_c-cpp_manual,2024-04-01,0
krallin/tini,2019-11-01,4
CalebFenton/simplify,2019-10-01,28
dyc87112/SpringCloud-Learning,2022-04-01,0
201206030/novel,2022-10-01,179
klaudiosinani/taskbook,2022-01-01,0
yangjie10930/EpMedia,2023-07-01,0
HKUST-Aerial-Robotics/VINS-Mono,2021-10-01,1
MeetYouDevs/cocoapods-imy-bin,2022-07-01,3
DroidPluginTeam/DroidPlugin,2022-08-01,0
jpbruinsslot/slack-term,2022-02-01,0
JetBrains/fernflower,2024-01-01,44
mojombo/god,2021-05-01,0
airbnb/synapse,2020-11-01,44
cloudhead/toto,2021-04-01,0
visualfc/liteide,2023-11-01,113
chinabugotech/hutool,2020-08-01,852
MyCATApache/Mycat-Server,2019-11-01,182
weld-project/weld,2019-10-01,74
