treated_repo,control_repo,adoption_date,reference_month
gen2brain/raylib-go,bugaevc/wl-clipboard,2021-11-11 00:00:00+00:00,2021-11-01
protobuf-net/protobuf-net,x360ce/x360ce,2020-01-26 00:00:00+00:00,2020-01-01
xanderfrangos/twinkle-tray,Stability-AI/StableSwarmUI,2023-07-05 00:00:00+00:00,2023-07-01
clue/stream-filter,visionmedia/page.js,2021-03-29 00:00:00+00:00,2021-03-01
zeux/meshoptimizer,Qloapps/QloApps,2019-09-30 00:00:00+00:00,2019-09-01
ikarus23/MifareClassicTool,top-think/think,2021-12-28 00:00:00+00:00,2021-12-01
endless-sky/endless-sky,googleprojectzero/sandbox-attacksurface-analysis-tools,2020-01-19 00:00:00+00:00,2020-01-01
rest-assured/rest-assured,dreammis/social-auto-upload,2021-05-21 00:00:00+00:00,2021-05-01
shikijs/shiki,NorthwoodsSoftware/GoJS,2020-08-03 00:00:00+00:00,2020-08-01
HMBSbige/NatTypeTester,utilForever/game-developer-roadmap,2020-09-27 00:00:00+00:00,2020-09-01
rtomayko/tilt,orta/cocoapods-keys,2022-07-22 00:00:00+00:00,2022-07-01
libretro/RetroArch,Mbed-TLS/mbedtls,2020-07-16 00:00:00+00:00,2020-07-01
eatmoreapple/openwechat,code4craft/webmagic,2022-11-12 00:00:00+00:00,2022-11-01
googleapis/google-api-ruby-client,tinode/chat,2020-10-18 00:00:00+00:00,2020-10-01
mathjax/MathJax,Imangazaliev/DiDOM,2025-06-26 00:00:00+00:00,2025-06-01
drupal-composer/drupal-project,DrKLO/Telegram,2021-03-01 00:00:00+00:00,2021-03-01
quickwit-oss/tantivy,symfony/twig-bridge,2021-06-14 00:00:00+00:00,2021-06-01
Licoy/wordpress-theme-puock,MaxBittker/sandspiel,2022-06-26 00:00:00+00:00,2022-06-01
fxn/zeitwerk,Tencent/APIJSON,2021-04-18 00:00:00+00:00,2021-04-01
Netflix/eureka,JetBrains/fernflower,2021-08-17 00:00:00+00:00,2021-08-01
overtrue/easy-sms,mojombo/god,2021-11-18 00:00:00+00:00,2021-11-01
